username,entityOwner,parentEntity,focusRegion,language,username,bio,joined,followers
Amb_LuKang,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Indonesia,Bahasa Indonesia,Amb_LuKang,"中国驻印尼大使
Chinese Ambassador to Indonesia",Joined April 2022,40600
Amb_Yiming,Ministry of Foreign Affairs,Ministry of Foreign Affairs,UAE,Arabic,Amb_Yiming,"Ambassador of China to the United Arab Emirates

   FB：http://facebook.com/yiming.zhang.7…

   INS：http://instagram.com/amb_yiming/",Joined September 2019,20300
Amb_ZhuJing,Ministry of Foreign Affairs,Ministry of Foreign Affairs,EU,English,Amb_ZhuJing,"中国驻欧盟使团公使
Ministre Mission  à ",Joined January 2020,18500
aMEDIAchallenge,China Media Group (CMG),Central Publicity Department,Anglosphere,English,aMEDIAchallenge,"Official Account for CGTN ""The Media Challengers"" 

《媒体勇士》官方账号",Joined January 2021,66
amysaina,China Media Group (CMG),Central Publicity Department,Anglosphere,English,amysaina,"Ex-host of ""Facts Tell"" | Communication Specialist | Commentator | Mongolian heritage | 
@UniMelb
 & 
@JMSCHKU
 alum | History book aficionado",Joined March 2015,75
AndyBxxx,Shanghai United Media Group (SUMG),Shanghai Municipal Committee,Shanghai,English,AndyBxxx," Columnist, video 
@ShanghaiDaily
 • http://YouTube.com/ReportsOnChina • Fudan M.A. • INFJ • wHiTe MoNkEy • 上海日报 • 复旦大学硕士 • 不是吹捧中国的投机者，而是讲述事实的媒体人",Joined March 2009,85400
are_china,People's Daily Press,Central Committee of the Chinese Communist Party,Anglosphere,English,are_china,"Real stories from amazing people in China. Part of People's Daily Online, we provide you with stories from China, including culture, tech and travel.",Joined November 2018,104
assignasia,China Media Group (CMG),Central Publicity Department,Anglosphere,English,assignasia,"Assignment Asia is 
@CGTNOfficial
's award-winning documentary program that tells the story of the world's most vibrant and diverse continent.",Joined May 2014,740
ayishaelseenya,China Media Group (CMG),Central Publicity Department,MENA,Arabic,ayishaelseenya,I'd like to share my life in China and my music cover videos and also some videos about cultural difference between Chinese and Arab.,Joined March 2020,95
back_XiaoDiDi,Diba,Diba,China,Chinese,back_XiaoDiDi,"本主頁為《帝吧中央集團軍》小組官方Twitter。
官微微博：@帝吧官微 
TG频道：http://t.me/DiBA_CHINA

投稿可私信",Joined May 2009,29300
BeautyJiangxi,Jiangxi Provincial Department of Culture and Tourism,Jiangxi Provincial People's Government,Jiangxi,English,BeautyJiangxi,Welcome to the official Twitter page of Jiangxi Provincial Department of Culture and Tourism. Beautiful Jiangxi scenery is waiting for your exploration.,Joined April 2018,88000
BeijingChannel,Xinhua News Agency,State Council,Anglosphere,English,BeijingChannel,Information and insight on everything related to China's interaction with the world,Joined January 2021,1347
BeijingDiscover,unknown,unknown,Anglosphere,English,BeijingDiscover,"Welcome to our journey to discover the best of Beijing. Use #DiscoverBeijing and we'll RT our faves. We're also 
@idiscoverbeijing
 on Instagram.",Joined September 2019,22900
BeijingReview,China International Communications Group (CICG),Central Publicity Department,Beijing,English,BeijingReview,"Looking for the real story on China? Follow Beijing Review magazine, China’s only English-language news weekly. You can also follow us on YouTube and Facebook.",Joined June 2009,94300
beltroadnews,People's Daily Press,Central Committee of the Chinese Communist Party,Anglosphere,English,beltroadnews,"Dedicated News, Views & Analysis on Belt & Road Initiative.",Joined May 2018,3062
bjd_review,Beijing Daily Newspaper Group ,Beijing Municipal Committee,China,Chinese,bjd_review,"Comprehensive view, profundity observation",Joined November 2021,868
BlairZheng1,China Media Group (CMG),Central Publicity Department,Anglosphere,English,BlairZheng1,Q-Q,Joined November 2012,7
Bossebosse84,China Media Group (CMG),Central Publicity Department,Anglosphere,English,Bossebosse84,Journalist,Joined November 2010,215
bycongwang,People's Daily Press,Central Committee of the Chinese Communist Party,Anglosphere,English,bycongwang,"Reporter, Global Times",Joined April 2012,586
Cao_Li_CHN,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Anglosphere,English,Cao_Li_CHN,"Counsellor, Information Department, MFA, China
中国外交部新闻司参赞
husband & dad, jogger & swimmer...",Joined February 2018,16700
CCGJeddah,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Saudi Arabia,Arabic,CCGJeddah,The official twitter account of the Consulate General of the People's Republic of China in Jeddah,Joined April 2021,3268
cctvxinwen,China Media Group (CMG),Central Publicity Department,China,Chinese,cctvxinwen,无处不在的央视，随时随地的新闻,Joined February 2013,1340
CCTV_Plus,China Media Group (CMG),Central Publicity Department,China,Chinese,CCTV_Plus,CCTV+ is a leading video news agency in China that offers Chinese news and Chinese perspective on international news.,Joined January 2015,35300
CDAfricaNews,China Daily Press,Central Publicity Department,African Union,English,CDAfricaNews,A window to watch China and Africa. Please follow us and share your opinion on Sino-Africa relations,Joined August 2016,3385
CDchinawatch,China Daily Press,Central Publicity Department,Anglosphere,English,CDchinawatch,"China Daily-powered think tank, connecting China-focused thinkers around the world, providing thought-provoking research on China-related issues",Joined May 2020,563
CDHKedition,China Daily Press,Central Publicity Department,Hong Kong,English,CDHKedition,"FRESH. SPIRITED. HONG KONG LIFE.
新觸角，正能量，港生活。",Joined May 2020,3717
CdOpinion,China Daily Press,Central Publicity Department,Anglosphere,English,CdOpinion,China Daily Op-Ed department. Sharing China’s ideas with the world.,Joined May 2020,707
CDscitech,China Daily Press,Central Publicity Department,Anglosphere,English,CDscitech,"Latest innovation, science, health news & more from China",Joined July 2020,164
CD_visual,China Daily Press,Central Publicity Department,Anglosphere,English,CD_visual,Bringing you exceptional visual and art images of China and its people.,Joined May 2020,998
CenJasmine,China Media Group (CMG),Central Publicity Department,Anglosphere,English,CenJasmine,"Wanderlust in Beijing; Covering #internationalaffairs #ChinaUSRelations; Bylines include CNN, USAToday, MilitaryTimes Medill MSJ16",Joined May 2012,262
CGChinaInZurich,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Switzerland,German,CGChinaInZurich,Generalkonsulat der VR China in Zürich und für das Fürstentum Liechtenstein,Joined February 2020,8972
CGHuangPingNY,Ministry of Foreign Affairs,Ministry of Foreign Affairs,USA,English,CGHuangPingNY,中国驻纽约总领事 Chinese Consul General in New York,Joined October 2021,7556
CGMeifangZhang,Ministry of Foreign Affairs,Ministry of Foreign Affairs,UK,English,CGMeifangZhang,"Consul General of China in Belfast  CGMeifangZhang on TikTok 
@cgmeifangzhang
Tweets are only personal views. Rts are not necessarily endorsements.",Joined January 2020,160000
CGPRCinDubai,Ministry of Foreign Affairs,Ministry of Foreign Affairs,UAE,English,CGPRCinDubai,"The official Twitter account of Consulate General of the People's Republic of China in Dubai, UAE",Joined December 2019,3993
cgtnafrica,China Media Group (CMG),Central Publicity Department,African Union,English,cgtnafrica,"We provide the latest news from all over Africa. From politics, business and sports, to insights on African entertainment, lifestyle and technology news.",Joined June 2012,149100
cgtnamerica,China Media Group (CMG),Central Publicity Department,USA,English,cgtnamerica,"Watch live: http://america.cgtn.com/livestream/ 
Material is distributed by MediaLinks TV, LLC on behalf of CCTV. Info available at the Department of Justice in DC.",Joined June 2012,288200
cgtnarabic,China Media Group (CMG),Central Publicity Department,MENA,Arabic,cgtnarabic,شبكة تلفزيون الصين الدولية مؤسسة إعلامية فريدة ورائدة في الصين اليوم تبث باللغات التالية: الإنجليزية، الإسبانية، الفرنسية، العربية والروسية إلى العالم.,Joined December 2016,668300
CGTNBusiness,China Media Group (CMG),Central Publicity Department,Anglosphere,English,CGTNBusiness,"Comprehensive economics and business news from CGTN Digital, helps you decipher Chinese economy.",Joined November 2019,1162
CGTNDCproducers,China Media Group (CMG),Central Publicity Department,USA,English,CGTNDCproducers,CGTN Washington DC// Producer retweets & links are not endorsements,Joined March 2016,455
CGTNEurope,China Media Group (CMG),Central Publicity Department,EU,English,CGTNEurope,China Global Television Network in Europe  See the difference: http://tiktok.com/@cgtneurope Telegram: http://t.me/cgtn_europe,Joined December 2016,18200
CGTNEuropebreak,China Media Group (CMG),Central Publicity Department,EU,English,CGTNEuropebreak,"China Global Television Network in Europe - Breaking news

See the difference: http://tiktok.com/@cgtneurope Telegram: http://t.me/cgtn_europe",Joined May 2023,1741
CGTNFood,China Media Group (CMG),Central Publicity Department,Anglosphere,English,CGTNFood,We bring you delicious and original Chinese dishes from every corner of the country!,Joined October 2019,98
CGTNFrancais,China Media Group (CMG),Central Publicity Department,la Francophonie,French,CGTNFrancais,Compte officiel de CGTN Français,Joined August 2013,977800
CGTNGlobalBiz,China Media Group (CMG),Central Publicity Department,Anglosphere,English,CGTNGlobalBiz,"Global Business is 
@CGTNOfficial
's flagship business show. Air times: Monday - Friday 08:15 & 13:00 GMT. Facebook: CGTNGlobalBusiness; Weibo: CGTNGlobalBusiness",Joined May 2017,12500
CGTNGraphics,China Media Group (CMG),Central Publicity Department,Anglosphere,English,CGTNGraphics,"A collection of graphics, visualizations and maps via 
@CGTNOfficial
's data journalism team.",Joined December 2019,914
CGTNMovies,China Media Group (CMG),Central Publicity Department,Anglosphere,English,CGTNMovies,We tell you what people are watching in the world's 2nd biggest box office!,Joined October 2019,79
CGTNOfficial,China Media Group (CMG),Central Publicity Department,Anglosphere,English,CGTNOfficial,CGTN is an international media organization. It aims to provide global audiences with accurate and timely news coverage as well as rich audiovisual services.,Joined January 2013,"13,000,000"
cgtnradio,China Media Group (CMG),Central Publicity Department,Anglosphere,English,cgtnradio,"CGTN Radio provides global audiences with news, reports and feature programs with a distinctive Chinese flavor and an international perspective.",Joined April 2009,725200
cgtnrussian,China Media Group (CMG),Central Publicity Department,Russia,Russian,cgtnrussian,"«CGTN РУССКИЙ» - китайский международный телеканал, вещающий на русском языке. Начал трансляцию 10 сентября 2009 года под названием «CCTV-Русский».",Joined October 2016,87500
CGTNSports,China Media Group (CMG),Central Publicity Department,Anglosphere,English,CGTNSports,Sports events from China and around the world.,Joined December 2016,1046
CGTNSportsScene,China Media Group (CMG),Central Publicity Department,Anglosphere,English,CGTNSportsScene,"China's only English Sports TV show. Daily coverage of sports news across China, and other major international events.",Joined May 2017,7582
CGTNStories,China Media Group (CMG),Central Publicity Department,Anglosphere,English,CGTNStories,"The best bits of 
@CGTNOfficial
 analysis. From a deep dive into the day's news to immersive features-we bring you stories that you care about.",Joined November 2019,1669
CGTNTech,China Media Group (CMG),Central Publicity Department,Anglosphere,English,CGTNTech,"Find thelatest news ontech,science,environment,health & gaming around the world, with a focus on China.",Joined December 2018,1206
cgtntravelogue,China Media Group (CMG),Central Publicity Department,Anglosphere,English,cgtntravelogue,"Travelogue is the flagship travel program of 
@CGTNOfficial
 taking viewers to the best destination in China and beyond, providing the latest travel tips & info.",Joined July 2013,973
CGTN_Culture,China Media Group (CMG),Central Publicity Department,Anglosphere,English,CGTN_Culture,Get cultured on China with CGTN!,Joined October 2019,1537
CGTN_Dialogue,China Media Group (CMG),Central Publicity Department,Anglosphere,English,CGTN_Dialogue,"China's flagship current affairs talk show on 
@CGTNOfficial
. Balanced perspectives on how China perceives the world. Influences decision makers around the world",Joined January 2017,1011
Chen1126,China Media Group (CMG),Central Publicity Department,Kenya,English,Chen1126,"Multimedia reporter, base in Nairobi, Kenya | A runner, reader, film and coffee lover | studied journalism 
@JMSCHKU
, and politics in 
@OfficialUoM
.",Joined April 2012,2052
chenhuixin,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Finland,English,chenhuixin,Counsellor of the Chinese Embassy,Joined May 2010,736
Chenjuan,Shanghai Media Group (SMG),Shanghai Municipal Committee,Anglosphere,English,Chenjuan,"Chief Editor 
@yicaichina
. ex-Dow Jones & Xinhua. Beijinger in Shanghai. Views are my own.",Joined June 2009,592
ChenMingjian_CN,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Tanzania,English,ChenMingjian_CN,Ambassador of the People's Republic of China to the United Republic of Tanzania,Joined December 2021,10500
ChenPingMFA,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Spain,Spanish,ChenPingMFA,"Diplomático chino. Vivió en España, Venezuela, Cuba y Chile. Trabaja por la paz, amistad, respeto, entendimiento, cooperación y desarrollo entre los  pueblos.",Joined April 2022,8391
chenweihua,China Daily Press,Central Publicity Department,Anglosphere,English,chenweihua,"China Daily EU Bureau Chief/columnist. Ex-DC, NY chief correspondent. Knight Fellow Stanford, WPI Fellow Macalester, Freedom Forum Fellow UHManoa Views My Own!!",Joined November 2009,195700
CHENWendi11,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Somalia,English,CHENWendi11,"Counsellor, Chinese Embassy in Somalia;",Joined September 2021,241
China24Official,China Media Group (CMG),Central Publicity Department,Anglosphere,English,China24Official,"China Takeaway brings you the most relevant news, human-centered stories and fresh perspectives from a country of extraordinary complexity and diversity.",Joined October 2019,2931
China2ASEAN,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ASEAN,English,China2ASEAN,Ambassador of the People's Republic of China to ASEAN,Joined January 2020,107600
ChinaAmbBelgium,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Belgium,English,ChinaAmbBelgium,"CAO Zhongming,  Chinese Ambassador to the Kingdom of Belgium",Joined December 2019,9679
ChinaAmbSA,Ministry of Foreign Affairs,Ministry of Foreign Affairs,South Africa,English,ChinaAmbSA,"Chinese Ambassador to South Africa.

For Visa-related issues please contact 0027-11-5059300 or johannesburgcenter@visaforchina.org",Joined September 2019,52900
ChinaAmbUN,Ministry of Foreign Affairs,Ministry of Foreign Affairs,UN,English,ChinaAmbUN,Permanent Representative of the People's Republic of China to the United Nations. See also http://un.china-mission.gov.cn/eng/,Joined February 2020,67800
chinaandsamoa,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Samoa,English,chinaandsamoa,Embassy of the People's Republic of China in the Independent State of Samoa 欢迎关注中国驻萨摩亚使馆官方推特,Joined September 2019,5368
ChinaCGCalgary,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Canada,English,ChinaCGCalgary,The official twitter account of the Consulate General of the People's Republic of China in Calgary,Joined December 2019,3689
chinacgedi,Ministry of Foreign Affairs,Ministry of Foreign Affairs,UK,English,chinacgedi,Official account of the Consulate-General of the PRC in Edinburgh,Joined February 2020,3329
ChinaCGMTL,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Canada,French,ChinaCGMTL,"Bienvenue au Consulat général de la République populaire de Chine à Montréal. Si vous avez des questions sur le visa, veuillez consulter http://visaforchina.org",Joined January 2020,996
ChinaCG_CC,Ministry of Foreign Affairs,Ministry of Foreign Affairs,New Zealand,English,ChinaCG_CC,"official twitter account of the Consulate General of People's Republic of China in Christchurch, New Zealand",Joined May 2021,2630
ChinaCG_Ffm,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Germany,German,ChinaCG_Ffm,"中华人民共和国驻法兰克福总领事馆
Generalkonsulat der Volksrepublik China in Frankfurt am Main
Consulate General of the People's Republic of China in Frankfurt am Main",Joined November 2021,2908
ChinaCG_Muc,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Germany,German,ChinaCG_Muc,"中华人民共和国驻慕尼黑总领事馆
Generalkonsulat der VR China in München
Chinese Consulate General in Munich",Joined October 2021,3038
ChinaCG_NYC,Ministry of Foreign Affairs,Ministry of Foreign Affairs,USA,English,ChinaCG_NYC,"Official Twitter Account of the Consulate General of the PRC
TikTok: https://tiktok.com/@chinacg_nyc
Instagram:http://instagram.com/chinacg_nyc/",Joined February 2021,3067
ChinaConsAlmaty,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Kazakhstan,Russian,ChinaConsAlmaty,Приветствуем всех посетителей официального аккаунта Твиттера Генерального консульства Китайской Народной Республики в Алматы!,Joined August 2021,4228
ChinaConsulate,Ministry of Foreign Affairs,Ministry of Foreign Affairs,USA,English,ChinaConsulate,"Official Twitter Account of Consulate General of the People's Republic of China in Chicago, IL, U.S.",Joined January 2017,5755
chinaconsulist,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Türkiye,Turkish,chinaconsulist,"Çin İstanbul Başkonsolosluğu Sözcüsü resmi hesabına hoşgeldiniz!
Instagram: http://chinaconsul.ist
E-mail: chinaconsulistpress@gmail.com",Joined February 2020,9327
ChinaConSydney,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Australia,English,ChinaConSydney,The official Twitter account of the Consulate General of the People's Republic of China in Sydney,Joined April 2020,9035
Chinacultureorg,China Daily Press,Ministry of Culture and Tourism,Anglosphere,English,Chinacultureorg,"Visit China and discover beautiful places, oriental culture, trendy lifestyle and more. http://en.chinaculture.org",Joined November 2015,24600
ChinaDaily,China Daily Press,Central Publicity Department,Anglosphere,English,ChinaDaily,"Start a conversation as we share news and analysis from #China and beyond. 
FB: China Daily 
Telegram: http://t.me/+043Tnnn4bd4yN…
Ins: chinadailynews",Joined November 2009,"4,100,000"
ChinaDailyAsia,China Daily Press,Central Publicity Department,Anglosphere,English,ChinaDailyAsia,"Catch breaking news, real-time coverage, photos and videos at http://chinadailyasia.com, the official website of China Daily in Asia",Joined April 2011,26900
ChinaDailyEU,China Daily Press,Central Publicity Department,EU,English,ChinaDailyEU,Visit http://getchinadaily.com to subscribe our China Daily European Weekly and China Daily UK edition.,Joined May 2011,10200
ChinaDailyWorld,China Daily Press,Central Publicity Department,Anglosphere,English,ChinaDailyWorld,The world as seen from China,Joined May 2020,1387
ChinaDaily_Life,China Daily Press,Central Publicity Department,Anglosphere,English,ChinaDaily_Life,"See China through its history, art and culture — and the lifestyles of those who create it.",Joined May 2020,993
ChinaEmbAddis,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Ethiopia,English,ChinaEmbAddis,Ambassador Extraordinary and Plenipotentiary of the People's Republic of China to the Federal Democratic Republic of Ethiopia,Joined December 2019,17200
ChinaEmbajadaRD,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Dominican Republic,Spanish,ChinaEmbajadaRD,Bienvenidos a seguir la cuenta oficial de la Embajada de la República Popular China en la República Dominicana.,Joined April 2019,8233
ChinaEmbAlgeria,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Algeria,Arabic,ChinaEmbAlgeria,مرحبا بكم في الحساب الرسمي لسفارة جمهورية الصين الشعبية لدى الجزائر.,Joined June 2020,15600
ChinaEmbAngola,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Angola,Portuguese,ChinaEmbAngola,Embaixada da China em Angola,Joined October 2019,4160
ChinaEmbAntigua,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Antigua and Barbuda,English,ChinaEmbAntigua,Official twitter account of the Embassy of the People's Republic of China in Antigua and Barbuda,Joined April 2020,1779
ChinaEmbArg,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Argentina,Spanish,ChinaEmbArg,Un puente que enlaza a ambos pueblos en el corazón,Joined March 2020,9958
ChinaembassyT,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Albania,Albanian,ChinaembassyT,The Official twitter account of the Embassy of the People's Republic of China in the Republic of Albania Facebook http://facebook.com/ChinaembassyT,Joined April 2019,3555
ChinaEmbassy_MV,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Maldives,English,ChinaEmbassy_MV,Official Twitter Account of the Embassy of the People's Republic of China in the Republic of Maldives,Joined November 2021,2849
ChinaEmbassy_MW,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Malawi,English,ChinaEmbassy_MW,Chinese Embassy in Malawi,Joined November 2019,3752
chinaembaustria,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Austria,German,chinaembaustria,Botschaft der Volksrepublik China in der Republik Österreich,Joined January 2020,6804
ChinaEmbBahrain,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Bahrain,Arabic,ChinaEmbBahrain,Offcial Twitter Account of Chinese Embassy in Bahrain,Joined October 2021,1501
chinaembcongobz,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Rep. of Congo,French,chinaembcongobz,The official account of the Embassy of the People's Republic of China in the Republic of the Congo ;中华人民共和国驻刚果共和国大使馆官方账号,Joined April 2020,3161
ChinaEmbCroatia,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Croatia,English,ChinaEmbCroatia,Official twitter account of the Embassy of the People's Republic of China in the Republic of Croatia,Joined November 2021,1625
ChinaEmBE,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Belgium,French,ChinaEmBE,Welcome to the official Twitter account of Embassy of China in Belgium.,Joined April 2022,1257
ChinaEmbEritrea,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Eritrea,English,ChinaEmbEritrea,Official Account of the Chinese Embassy in Eritrea,Joined June 2021,5816
ChinaEmbEsp,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Spain,Spanish,ChinaEmbEsp,Bienvenidos a la cuenta oficial de la Embajada de China en España,Joined September 2019,27300
ChinaEmbGermany,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Germany,German,ChinaEmbGermany,Botschaft der Volksrepublik China in der Bundesrepublik Deutschland,Joined December 2019,7946
ChinaEmbGrenada,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Grenada,English,ChinaEmbGrenada,Official twitter account of the Embassy of the People's Republic of China in Grenada,Joined October 2019,6585
ChinaEmbinCH,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Switzerland,English,ChinaEmbinCH,The official account of the Chinese Embassy in Switzerland.,Joined May 2021,7930
ChinaEmbinGH,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Ghana,English,ChinaEmbinGH,The official account of the Chinese Embassy in Ghana,Joined March 2020,5437
